Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C37, C41, C42, C47, C57, C6",0201,8,10nF,
"C10, C11",0201,2,C0402C180J3GACAUTO,
C13,1206,1,30 µF,
"C14, C16, C18, C2, C22, C25, C28, C3, C34, C35, C36, C39, C4, C40, C43, C44, C5",0201,17,100nF,
C15,0402,1,2.0 µF,
"C17, C19, C38, C55",0402,4,1 µF,
"C20, C46",0805,2,8.2 µF,
"C23, C24",0201,2,C0402C120F5GACTU,
"C26, C48, C49, C56, C58",0201,5,1nF,
C27,0201,1,2.2pF,
C29,0201,1,1pF,
C30,0201,1,1.5pF,
C32,0201,1,47nF,
C33,0201,1,2.2nF,
C50,0201,1,1.87 pF,
"C51, C52",CAP_EEFK_D8_PAN,2,EEE-FK0J331XP,
"C8, C9",0201,2,18pF,
"D1, D7",D_SOD-523,2,SDM10U45-7,
D2,SOT-23-3,1,BAT54C,
"D3, D4, D5",D_SOD-123,3,B5819W-TP,
D6,0201,1,NSR05F40NXT5G,
E1,Antenna_footprint,1,Antenna,
FB2,0402,1,MPZ1608S221A,
J1,MICRO-USB-SMD_MICROQTJ-5P,1,MICROQTJ,
JY1,RKJXV122400R,1,RKJXV122400R,
L1,IND_SRR4818A-6R8Y,1,SRR4818A-6R8Y,
L2,0201,1,3.3nH,
L3,0201,1,4.7nH,
L5,0201,1,10nH,
LED1,LED0805-RD_WHITE,1,E6C0805WWAY1UDA(1.1T_M),
"P3, P4",CON_781271220,2,781271220,
"PAD1, PAD4",OuterPads2-5mm,2,OuterPads2-5mm,
"PAD2, PAD3, PAD5",OuterPad2-2mm,3,OuterPad2-2mm,
"Q10, Q11",SOT-23-3,2,DMN2300U-7,
"Q12, Q2, Q4, Q5",SOT-23-3,4,DMP2035U-7,
Q3,SOT-23-3,1,MMBT3906,
"Q6, Q8",SOT-23-3,2,FDV304P,
R1,0201,1,50Ω,
R10,0201,1,27KΩ,
"R11, R31, R50",0201,3,100KΩ,
R12,0201,1,221kΩ,
"R13, R17",0201,2,20kΩ,
"R14, R36",0201,2,1kΩ,
"R15, R16, R37, R39, R40, R41, R45, R46",0201,8,33Ω,
R18,0201,1,75kΩ,
R19,0201,1,120kΩ,
"R21, R25, R4, R43, R44, R51",0201,6,50mΩ,
R22,1206,1,5.1Ω,
"R23, R24, R35",0201,3,100Ω,
R26,0201,1,976kΩ,
R27,0201,1,523kΩ,
R28,0201,1,180kΩ,
R29,0201,1,390kΩ,
"R3, R48, R49",0201,3,10KΩ,
R30,0201,1,215kΩ,
"R32, R38, R42",0201,3,220kΩ,
R33,0201,1,510Ω,
R47,0201,1,330kΩ,
R52,0603,1,100mΩ,
"R6, R7",0201,2,4.7kΩ,
"S1, S15, S17, S4, S7, S9",BUTTONPADS,6,Steam_Controller_ButtonPads,
"S10, S8",SW-SMD_TL4100AF240QG,2,TL4100AF240QG,
"S14, S16, S2, S5",SW_5134TR,4,5134TR,
S18,STEAM,1,STEAM_Symbol,
"S3, S6",SKRR,2,SKRRAAE010,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP3, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP4, TP40, TP41, TP42, TP43, TP44, TP45, TP46, TP47, TP48, TP49, TP5, TP50, TP51, TP52, TP6, TP7, TP8, TP9",Steam Controller Test Pad,52,TestPoint,
U1,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,1,"LPC11U37FBD64/501,",
"U10, U9",SOT-363_SC-70-6,2,DMN63D8LDW-7,
U2,SOT-23-6,1,TPD4E1U06DBVR - NG4P USB,
U3,VSON-10-1EP_3x3mm_P0.5mm_EP1.2x2mm,1,TPS61029DRCR,
U4,SOT-23-5,1,TLV70230DBVT,
U5,QFN-48_L6.0-W6.0-P0.40-TL-EP4.6,1,NRF51822-QFAB-T,
U6,QFN-24_L3.0-W3.0-P0.40-BL-EP,1,MPU6500,
"U7, U8",SOT-23W,2,A1304ELHLT-T,
X1,XTAL_ABM8-12.000MHZ-B2-T,1,ABM8-12.000MHZ-B2-T,
X2,NX2520SA16MHZSTDCSW5,1,NX2520SA-16MHZ-STD-CSW-5,
