Designator,Mid X,Mid Y,Rotation,Layer
BAT1,96.4813449442145,-124.33611643751972,8.0,bottom
BAT2,209.4544493913057,-124.11638242875333,352.0,bottom
C1,148.99,-96.87,90.0,bottom
C10,146.89,-93.97,0.0,bottom
C11,145.76,-89.02,180.0,bottom
C12,157.69,-62.64,90.0,bottom
C13,92.26,-105.29,90.0,top
C14,97.7,-101.22,90.0,top
C15,90.53,-104.4,90.0,top
C16,104.41,-106.12,270.0,top
C17,105.42,-105.8,270.0,top
C18,100.84,-108.84,90.0,top
C19,102.53,-106.9,180.0,top
C2,157.76,-103.78,90.0,bottom
C20,83.94,-107.82,170.0,top
C22,84.55,-106.61,350.0,top
C23,176.76,-71.24,0.0,bottom
C24,181.93,-71.71,90.0,bottom
C25,181.92,-73.18,0.0,bottom
C26,176.3,-72.8,270.0,bottom
C27,175.02,-75.21,270.0,bottom
C28,184.63,-75.22,180.0,bottom
C29,173.69,-74.8,0.0,bottom
C3,165.99,-98.67,0.0,bottom
C30,174.51,-71.64,270.0,bottom
C32,174.9,-79.93,270.0,bottom
C33,174.01,-79.93,270.0,bottom
C34,184.21,-79.91,270.0,bottom
C35,123.33,-74.11,90.0,bottom
C36,124.45,-77.7,0.0,bottom
C37,126.65,-77.38,270.0,bottom
C38,108.23,-120.88,270.0,top
C39,109.35,-120.61,270.0,top
C4,165.46,-89.26,90.0,bottom
C40,201.26,-120.67,180.0,top
C41,213.0,-73.75,180.0,bottom
C42,94.25,-73.67,0.0,bottom
C43,93.89,-117.86,180.0,top
C44,210.68,-117.8,0.0,top
C46,83.95,-107.79,188.0,bottom
C47,126.29,-83.27,180.0,bottom
C48,167.95,-97.78,0.0,bottom
C49,167.2,-96.64,0.0,bottom
C5,149.19,-92.78,270.0,bottom
C50,165.75,-64.33,135.0,bottom
C51,223.26,-113.27,83.0,bottom
C52,82.64,-113.45,97.0,bottom
C55,208.98,-111.24,180.0,top
C56,148.39,-87.78,90.0,bottom
C57,86.48,-119.59,270.0,top
C58,145.42,-96.48,90.0,bottom
C6,166.73,-94.1,0.0,bottom
C8,159.7,-85.29,180.0,bottom
C9,157.97,-85.3,0.0,bottom
D1,84.53,-119.01,0.0,top
D2,88.4125,-123.44,90.0,top
D3,82.3775,-109.93,180.0,top
D4,104.58,-120.98,180.0,top
D5,201.09,-117.41,90.0,top
D6,90.88,-120.28,90.0,top
D7,80.15,-113.49,90.0,top
E1,166.828548,-64.405,0.0,top
FB2,156.73,-62.28,90.0,bottom
J1,152.8338,-57.2666,180.0,top
JY1,133.387494,-101.675002,180.0,top
L1,87.78,-111.65,0.0,top
L2,174.52,-73.41,90.0,bottom
L3,175.02,-76.98,90.0,bottom
L5,174.23,-78.05,90.0,bottom
LED1,152.90995,-76.399,0.0,top
P3,96.48,-114.84,161.0,top
P4,209.17,-114.86,199.0,top
PAD1,221.86,-121.7646,0.0,top
PAD2,218.83,-101.08,0.0,top
PAD3,152.820936,-108.175,0.0,top
PAD4,84.11,-121.99,0.0,top
PAD5,87.48,-101.01,0.0,top
Q10,198.31,-116.8575,180.0,top
Q11,97.7225,-120.03,90.0,top
Q12,86.1725,-116.19,90.0,top
Q2,95.56,-100.21,180.0,top
Q3,163.32,-81.27,180.0,bottom
Q4,88.71,-119.58,270.0,top
Q5,89.64,-116.18,180.0,top
Q6,91.11,-100.28,180.0,top
Q8,123.21,-83.15,90.0,bottom
R1,147.08,-79.85,270.0,bottom
R10,87.63,-95.66,270.0,top
R11,167.57,-93.24,180.0,bottom
R12,162.89,-83.94,270.0,bottom
R13,162.03,-83.94,270.0,bottom
R14,161.14,-83.94,90.0,bottom
R15,159.33,-83.98,270.0,bottom
R16,158.31,-83.97,90.0,bottom
R17,144.37,-79.8,90.0,bottom
R18,146.2,-79.8,270.0,bottom
R19,89.5,-97.58,90.0,top
R21,184.13,-86.17,270.0,bottom
R22,95.99,-103.06,180.0,top
R23,149.89,-96.99,90.0,bottom
R24,97.72,-99.5,270.0,top
R25,148.17,-79.85,90.0,bottom
R26,87.99,-104.01,180.0,top
R27,87.62,-97.35,270.0,top
R28,86.17,-104.01,180.0,top
R29,86.82,-97.35,270.0,top
R3,148.12,-96.91,90.0,bottom
R30,83.29,-115.8,180.0,top
R31,81.42,-115.8,0.0,top
R32,85.78,-97.36,270.0,top
R33,79.34,-115.88,90.0,top
R35,126.27,-82.35,180.0,bottom
R36,126.24,-81.48,180.0,bottom
R37,94.25,-110.76,0.0,top
R38,93.82,-97.92,0.0,top
R39,96.28,-110.55,90.0,top
R4,146.3,-96.5,270.0,bottom
R40,93.77,-117.01,180.0,top
R41,206.66,-118.89,0.0,top
R42,80.05,-111.58,0.0,top
R43,103.13,-118.94,90.0,top
R44,166.2,-65.7,42.0,bottom
R45,205.63,-112.85,180.0,top
R46,208.68,-118.86,0.0,top
R47,86.31,-96.12,180.0,top
R48,102.13,-118.95,90.0,top
R49,199.07,-113.78,180.0,top
R50,126.28,-84.22,180.0,bottom
R51,199.07,-114.62,0.0,top
R52,91.13,-102.65,180.0,top
R6,128.39,-76.99,180.0,bottom
R7,128.38,-76.09,180.0,bottom
S1,172.42343926636696,-108.19088692825123,120.0,top
S10,200.4801,-58.69005,180.0,top
S14,113.18,-100.39,0.0,bottom
S15,169.292549,-80.31885,0.0,top
S16,192.71,-100.36,0.0,bottom
S17,141.28724791581485,-80.11713733552214,1.0,top
